pipeline,segment_id,from_node,to_node,path_kind
foothills,fh_abbc_kingsgate,AB/BC,3498,mainline
gtn,gtn_kingsgate_malin,3498,1820,mainline
gtn,gtn_malin_handoff,1820,malin_gtn,handoff
kern_river,krgt_daggett_handoff,68522,baja_daggett,handoff
pipe_ranger,pr_malin_cgt,malin_gtn,cgt_citygate,backbone
pipe_ranger,pr_ruby_cgt,onyx_ruby,cgt_citygate,backbone
pipe_ranger,pr_transw_cgt,baja_transw,cgt_citygate,backbone
pipe_ranger,pr_elpaso_cgt,baja_elpaso,cgt_citygate,backbone
pipe_ranger,pr_daggett_cgt,baja_daggett,cgt_citygate,backbone
pipe_ranger,pr_cgt_core,cgt_citygate,Core,demand
pipe_ranger,pr_cgt_sysdem,cgt_citygate,System_Demand,demand
pipe_ranger,pr_cgt_wildgoose,cgt_citygate,WG_Net_Inj,storage
pipe_ranger,pr_cgt_lodi,cgt_citygate,Lodi_Net_Inj,storage
pipe_ranger,pr_cgt_centralvalley,cgt_citygate,CVGS_Inj_Phys,storage
pipe_ranger,pr_cgt_gillranch,cgt_citygate,GRS_LLC_Inj,storage
transwestern,tw_topock_handoff,56698,baja_transw,handoff
